"ISCED11";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2008";13,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2007";13,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2006";15;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2005";13,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2004";12,7;"b";NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2003";12,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2002";11;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2001";9,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH1";"A";"2000";9,8;"b";NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2015";31,7;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2014";27,3;"b";NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2013";23,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2012";26,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2011";26,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2010";22,7;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2009";21,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2008";21,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2007";20,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2006";18,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2005";16,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2004";14,6;"b";NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2003";13,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2002";11,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2001";10,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH2";"A";"2000";10,6;"b";NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2015";26,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2014";23,5;"b";NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2013";19,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2012";21,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2011";21,1;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2010";18,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2009";17,2;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2008";17;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2007";16,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2006";17,1;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2005";16,1;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2004";14,9;"b";NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2003";12,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2002";11,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2001";10,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITH3";"A";"2000";10,5;"b";NA
