"INDIC_SB";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"V11210";"G";"ITH3";"A";"2013";95535;NA;NA
"V11210";"G";"ITH3";"A";"2012";96523;NA;NA
"V11210";"G";"ITH3";"A";"2011";111633;NA;NA
"V11210";"G";"ITH3";"A";"2010";NA;NA;"na"
"V11210";"G";"ITH3";"A";"2009";NA;NA;"na"
"V11210";"G";"ITH3";"A";"2008";NA;NA;"na"
"V11210";"H";"AT32";"A";"2013";2031;NA;NA
"V11210";"H";"AT32";"A";"2012";1957;NA;NA
"V11210";"H";"AT32";"A";"2011";1924;NA;NA
"V11210";"H";"AT32";"A";"2010";1897;NA;NA
"V11210";"H";"AT32";"A";"2009";1913;NA;NA
"V11210";"H";"AT32";"A";"2008";1945;NA;NA
"V11210";"H";"AT33";"A";"2013";2286;NA;NA
"V11210";"H";"AT33";"A";"2012";2122;NA;NA
"V11210";"H";"AT33";"A";"2011";2103;NA;NA
"V11210";"H";"AT33";"A";"2010";2107;NA;NA
"V11210";"H";"AT33";"A";"2009";2106;NA;NA
"V11210";"H";"AT33";"A";"2008";2198;NA;NA
"V11210";"H";"AT34";"A";"2013";742;NA;NA
"V11210";"H";"AT34";"A";"2012";704;NA;NA
"V11210";"H";"AT34";"A";"2011";710;NA;NA
"V11210";"H";"AT34";"A";"2010";726;NA;NA
"V11210";"H";"AT34";"A";"2009";730;NA;NA
"V11210";"H";"AT34";"A";"2008";753;NA;NA
"V11210";"H";"DE2";"A";"2013";17060;NA;NA
"V11210";"H";"DE2";"A";"2012";16296;NA;NA
"V11210";"H";"DE2";"A";"2011";15567;NA;NA
"V11210";"H";"DE2";"A";"2010";14433;NA;NA
"V11210";"H";"DE2";"A";"2009";14744;NA;NA
"V11210";"H";"DE2";"A";"2008";17141;NA;NA
"V11210";"H";"IT";"A";"2013";130808;NA;NA
"V11210";"H";"IT";"A";"2012";132682;NA;NA
"V11210";"H";"IT";"A";"2011";149428;NA;NA
"V11210";"H";"IT";"A";"2010";150487;NA;NA
"V11210";"H";"IT";"A";"2009";163778;NA;NA
"V11210";"H";"IT";"A";"2008";162755;NA;NA
"V11210";"H";"ITC4";"A";"2013";23808;NA;NA
"V11210";"H";"ITC4";"A";"2012";24209;NA;NA
"V11210";"H";"ITC4";"A";"2011";26556;NA;NA
"V11210";"H";"ITC4";"A";"2010";26061;NA;NA
"V11210";"H";"ITC4";"A";"2009";35758;NA;NA
"V11210";"H";"ITC4";"A";"2008";30385;NA;NA
"V11210";"H";"ITH";"A";"2013";31658;NA;NA
"V11210";"H";"ITH";"A";"2012";32424;NA;NA
"V11210";"H";"ITH";"A";"2011";35432;NA;NA
"V11210";"H";"ITH";"A";"2010";NA;NA;"na"
"V11210";"H";"ITH";"A";"2009";NA;NA;"na"
"V11210";"H";"ITH";"A";"2008";NA;NA;"na"
"V11210";"H";"ITH1";"A";"2013";1450;NA;NA
"V11210";"H";"ITH1";"A";"2012";1459;NA;NA
"V11210";"H";"ITH1";"A";"2011";1624;NA;NA
"V11210";"H";"ITH1";"A";"2010";NA;NA;"na"
"V11210";"H";"ITH1";"A";"2009";NA;NA;"na"
"V11210";"H";"ITH1";"A";"2008";NA;NA;"na"
"V11210";"H";"ITH2";"A";"2013";1181;NA;NA
"V11210";"H";"ITH2";"A";"2012";1200;NA;NA
"V11210";"H";"ITH2";"A";"2011";1476;NA;NA
"V11210";"H";"ITH2";"A";"2010";NA;NA;"na"
"V11210";"H";"ITH2";"A";"2009";NA;NA;"na"
"V11210";"H";"ITH2";"A";"2008";NA;NA;"na"
"V11210";"H";"ITH3";"A";"2013";12585;NA;NA
"V11210";"H";"ITH3";"A";"2012";12908;NA;NA
"V11210";"H";"ITH3";"A";"2011";14424;NA;NA
"V11210";"H";"ITH3";"A";"2010";NA;NA;"na"
"V11210";"H";"ITH3";"A";"2009";NA;NA;"na"
"V11210";"H";"ITH3";"A";"2008";NA;NA;"na"
"V11210";"I";"AT32";"A";"2013";6110;NA;NA
"V11210";"I";"AT32";"A";"2012";5748;NA;NA
"V11210";"I";"AT32";"A";"2011";5525;NA;NA
"V11210";"I";"AT32";"A";"2010";5556;NA;NA
"V11210";"I";"AT32";"A";"2009";5525;NA;NA
"V11210";"I";"AT32";"A";"2008";5552;NA;NA
"V11210";"I";"AT33";"A";"2013";10655;NA;NA
"V11210";"I";"AT33";"A";"2012";10131;NA;NA
"V11210";"I";"AT33";"A";"2011";9499;NA;NA
"V11210";"I";"AT33";"A";"2010";9521;NA;NA
"V11210";"I";"AT33";"A";"2009";9325;NA;NA
"V11210";"I";"AT33";"A";"2008";9364;NA;NA
"V11210";"I";"AT34";"A";"2013";2527;NA;NA
"V11210";"I";"AT34";"A";"2012";2387;NA;NA
"V11210";"I";"AT34";"A";"2011";2351;NA;NA
"V11210";"I";"AT34";"A";"2010";2361;NA;NA
"V11210";"I";"AT34";"A";"2009";2353;NA;NA
"V11210";"I";"AT34";"A";"2008";2380;NA;NA
"V11210";"I";"DE2";"A";"2013";NA;NA;"na"
"V11210";"I";"DE2";"A";"2012";NA;NA;"na"
"V11210";"I";"DE2";"A";"2011";NA;NA;"na"
"V11210";"I";"DE2";"A";"2010";NA;NA;"na"
"V11210";"I";"DE2";"A";"2009";NA;NA;"na"
"V11210";"I";"DE2";"A";"2008";NA;NA;"na"
"V11210";"I";"IT";"A";"2013";313794;NA;NA
"V11210";"I";"IT";"A";"2012";308468;NA;NA
"V11210";"I";"IT";"A";"2011";347446;NA;NA
"V11210";"I";"IT";"A";"2010";322132;NA;NA
"V11210";"I";"IT";"A";"2009";336619;NA;NA
"V11210";"I";"IT";"A";"2008";332687;NA;NA
"V11210";"I";"ITC4";"A";"2013";44461;NA;NA
"V11210";"I";"ITC4";"A";"2012";43829;NA;NA
"V11210";"I";"ITC4";"A";"2011";55467;NA;NA
"V11210";"I";"ITC4";"A";"2010";45445;NA;NA
"V11210";"I";"ITC4";"A";"2009";44507;NA;NA
"V11210";"I";"ITC4";"A";"2008";46535;NA;NA
"V11210";"I";"ITH";"A";"2013";72213;NA;NA
"V11210";"I";"ITH";"A";"2012";71846;NA;NA
"V11210";"I";"ITH";"A";"2011";78499;NA;NA
"V11210";"I";"ITH";"A";"2010";NA;NA;"na"
"V11210";"I";"ITH";"A";"2009";NA;NA;"na"
"V11210";"I";"ITH";"A";"2008";NA;NA;"na"
"V11210";"I";"ITH1";"A";"2013";8462;NA;NA
"V11210";"I";"ITH1";"A";"2012";8509;NA;NA
"V11210";"I";"ITH1";"A";"2011";8572;NA;NA
"V11210";"I";"ITH1";"A";"2010";NA;NA;"na"
"V11210";"I";"ITH1";"A";"2009";NA;NA;"na"
